epoch,train_loss,val_loss,val_acc,val_f1
1,1.1310922207463971,0.7787354349071144,0.8774928774928775,0.8703304203580232
2,0.6673605590369108,0.448009791367414,0.8945868945868946,0.8902360341999588
3,0.432752204380582,0.29895235619314037,0.9002849002849003,0.8968914510082044
4,0.3346302836083059,0.23555836973027286,0.9202279202279202,0.9184137527437068
5,0.2699363574666797,0.1956180481829195,0.9316239316239316,0.9304099825736294
6,0.22511250487783702,0.15484190335300912,0.9558404558404558,0.9548334767528954
7,0.1869193569075047,0.13510234997822687,0.9572649572649573,0.9560592952325764
8,0.15601789170193817,0.1101631312034069,0.9643874643874644,0.9634214144768167
9,0.13666898087489304,0.09309531986034154,0.9729344729344729,0.9723389757350045
10,0.1246927162906206,0.07984377847098217,0.9729344729344729,0.9723750454989708
11,0.09852924675608751,0.06856883752380001,0.9757834757834758,0.9752072733430264
12,0.08894968537322649,0.06130497032336021,0.98005698005698,0.9796832953201925
13,0.07449741254140577,0.05416271920472469,0.9814814814814815,0.981161911751695
14,0.06560967995756332,0.04558916056682581,0.98005698005698,0.9798184096180401
15,0.06053995961988469,0.04091951656460422,0.98005698005698,0.9797879207144886
16,0.052671820982288065,0.033470038876489354,0.9928774928774928,0.9928209244553864
17,0.04140444480323015,0.03017501138214372,0.9914529914529915,0.9914636240951974
18,0.03936284751325962,0.029676441368554053,0.99002849002849,0.9899566091099216
19,0.040726482641414714,0.02551666774556168,0.9914529914529915,0.9914771158939105
20,0.030386570370273685,0.02563176633646855,0.9914529914529915,0.99156405958157
