epoch,train_loss,val_loss,val_acc,val_f1
1,1.0121039515205361,0.5805515665614027,0.886039886039886,0.8819542857036167
2,0.38223494223828586,0.2882271746964197,0.9273504273504274,0.9259111575778312
3,0.20299106922256602,0.24930425043459292,0.9430199430199431,0.9419467536012763
4,0.11596326035639386,0.27910931735296873,0.9629629629629629,0.9622720151474667
5,0.07186340779363154,0.26391333587828525,0.9686609686609686,0.9681294085935284
6,0.04395575941022752,0.1133929564912095,0.9658119658119658,0.9654499079148557
7,0.03140520435735058,0.22744638627750582,0.9729344729344729,0.9725365794578538
8,0.02160372330759738,0.09090338095470711,0.9743589743589743,0.9740318625362908
9,0.017866412733358903,0.1739446202829013,0.9757834757834758,0.9755428012737082
10,0.011517435274474474,0.107300117463298,0.9786324786324786,0.9782517573647079
11,0.011055629987544164,0.11066249004456392,0.9757834757834758,0.975573843014409
12,0.009064607087603312,0.19257471119279196,0.9757834757834758,0.9755908282843582
13,0.00703675945045081,0.09900422411257045,0.9786324786324786,0.9785941908810507
